de	1	Obama empfängt Netanyahu	Obama welcomes Netanyahu	Obama, Netanyahu	Obama receives Netanyahu	x     	v->pun     
de	2	Das Verhältnis zwischen Obama und Netanyahu ist nicht gerade freundschaftlich.	The relationship between Obama and Netanyahu is not exactly friendly.	The relationship between Obama and Netanyahu is not exactly friendly.	The relationship between Obama and Netanyahu is not exactly friendly.	x     	x     
de	3	Die beiden wollten über die Umsetzung der internationalen Vereinbarung sowie über Teherans destabilisierende Maßnahmen im Nahen Osten sprechen.	The two wanted to talk about the implementation of the international agreement, as well as Tehran's destabilizing measures in the Middle East.	The two wanted to talk about the implementation of the international agreement on Tehran's destabilizing policies in the Middle East.	The two wanted to talk about the implementation of the international agreement and about Teheran's destabilising activities in the Middle East.	x     	prep_miss     
en	15	Delta State University Polizeichef Lynn Buford sagte, dass Universitäts-Mitarbeiter das Schießen um 10:18 Uhr gehört haben.	Delta State University police chief Lynn Buford said university employees heard the shooting at 10: 18 p.m.	Delta State University Police Chief Lynn said Wednesday that university staff the shooting at 10: 18 a.m. heard.	Delta State University police chief Lynn Buford said university officials heard about the shooting at 10:18 a.m.	time     	ne v_order    
en	21	Die Polizei in Gautier, wo Prentiss starb, sagte, er habe keine Geschichte der Gewalt oder eine kriminelle Vorgeschichte.	Police in Gautier, where Prentiss died, said he had no history of violence or a criminal history.	The police in Gautier, where Prentiss died, said he had no history of violence or a criminal record.	Police in Gautier, where Prentiss died, said he had no history of violence or criminal record.	n_lex_style art_ext    	art_ext art_ext    
en	22	Schmidt selbst hatte Lamb in einem von ihm geschriebenen Buch erwähnt, in dem er die "wunderbaren Menschen" erwähnte, mit denen er sein akademisches Leben teilte.	Schmidt himself had mentioned Lamb in a book written by him, in which he mentioned the "wonderful people" with whom he shared his academic life.	Schmidt Lamb himself had mentioned in a book written by him, in which he spoke of the "beautiful people" with whom he shared his academic life.	Schmidt himself had included Lamb in a book he wrote where he acknowledged the "wonderful people" he shared his academic life with.	passive     	passive ne    
en	24	Zur gleichen Zeit gab es einige Neigungen zu problematischen Verhaltensweisen.	At the same time, there were some incumbents to problematic behavior.	At the same time, there were some inclinations to problematic behaviors.	At the same time, there were some inclinations of problems.	n_lex     	n_infl     
en	28	In diesem Jahr unterrichtete er nur zwei Online-Kurse.	This year, he taught only two online courses.	This year, he taught only two online courses.	This year, he was only teaching two online classes.	v_past_cont     	v_past_cont     
en	30	Universitäts-Präsident William LaForge sagte, er wisse nichts von einem Konflikt zwischen Lamb und Schmidt, aber "natürlich gab es etwas in Mr Lambs Vorstellung."	University President William LaForge said he knew nothing of a conflict between Lamb and Schmidt, but "of course there was something in Mr Lambs's idea."	University President William upon said that he knew nothing about a conflict between Lamb and Schmidt, of course, but "there was something in Mr. Lambs idea."	University President William LaForge said he didn't know of any conflict between Lamb and Schmidt but "obviously there was something in Mr. Lamb's mind."	ne n_lex    	ne_trans conj_order ne n_lex  
en	31	Das sind Fragen, die Lamb nicht mehr beantworten kann.	These are questions that Lamb can no longer answer.	These are questions that can no longer answer Lamb.	Those are questions Lamb can no longer answer.	x     	ne     
en	32	Nach der Flucht aus dem Campus fand die Polizei später Lambs Spur, als er wieder in Mississippi aus Arkansas einfuhr.	After fleeing from campus, police later found Lambs lane when he returned to Mississippi from Arkansas.	After fleeing the campus police later found Lambs when he could back into Mississippi from Arkansas.	After fleeing the campus, police later picked up Lamb's trail when he crossed back into Mississippi from Arkansas.	ne lex    	ne n_miss v_lex   
en	34	Sein Auto lief noch in der Einfahrt.	His car still ran in the driveway.	His car was still in the driveway.	His car was still running in the driveway.	v_past_cont     	v_past_cont     
en	36	Lamb wuchs in der Gegend auf.	Lamb grew up in the area.	Lamb grew up in the area.	Lamb grew up in the area.	x     	x     
en	39	Einer der langjährigen Freundinnen Lambs bezeichnete ihn als intelligent, charismatisch und lustig.	One of the longtime girlfriends Lambs described him as intelligent, charismatic and funny.	One of the longtime girlfriends Lambs described him as intelligent, charismatic and funny.	One of Lamb's longtime friends described him as smart, charismatic and funny.	ne ne    	ne ne    
