de	1	Obama receives Netanyahu	Obama empfängt Netanjahu	Obama Netanyahu empfängt	Obama empfängt Netanyahu	transliteration     	v_order       
de	2	The relationship between Obama and Netanyahu is not exactly friendly.	Das Verhältnis zwischen Obama und Netanjahu ist nicht gerade freundlich.	Das Verhältnis zwischen Obama und Netanjahu ist nicht gerade freundlich.	Das Verhältnis zwischen Obama und Netanyahu ist nicht gerade freundschaftlich.	transliteration     	transliteration       
de	6	Washington criticises the continuous building of settlements in Israel and accuses Netanyahu of a lack of initiative in the peace process.	Washington kritisiert den kontinuierlichen Aufbau von Siedlungen in Israel und wirft Netanjahu mangelnde Initiative im Friedensprozess vor.	Washington kritisiert den anhaltenden Siedlungsbau in Israel und Netanjahu beschuldigt, keine Initiative im Friedensprozess.	Washington kritisiert den andauernden Siedlungsbau Israels und wirft Netanyahu mangelnden Willen beim Friedensprozess vor.	n-coll_comp prep    	v_order prep->pun      
en	10	In 911 Call, Professor Admits to Shooting Girlfriend	In 911 Call räumt Professor zum Shooting Girlfriend ein	In 911 Call, Professor Admits zum Shooting Girlfriend	In einem Notruf gesteht Professor, seine Freundin erschossen zu haben	v_lex untrans untrans   	untrans untrans untrans     
en	12	Lamb made a point to say his "sweet dog" was there alive and probably upset, and said the dead woman's family contacts could be found on her phone.	Lamm machte einen Punkt zu sagen, sein "süßer Hund" war dort lebendig und wohl verärgert, und sagte, die Familienkontakte der toten Frau könnten auf ihrem Telefon gefunden werden.	Lamb machte eine Aussage seiner "süßen Hund" war dort lebendig und vermutlich verärgert, und sprach der Familie der toten Frau Kontakte auf ihrem Telefon gefunden werden kann.	Lamb war es wichtig zu betonen, dass sein "süßer Hund" aber noch lebe und wahrscheinlich aufgeregt sei, und er sagte, die Familienkontakte der toten Frau könnten auf dem Handy gefunden werden.	ne_trans literal    	mwe pun_miss a_infl ambig_v pun_miss n-coll phrase_structure 
en	20	Students said they looked forward to his class.	Die Schüler sagten, dass sie sich auf seine Klasse freuen.	Die Schüler sagten, dass sie sich auf seine Klasse.	Studenten sagten, dass sie sich auf seinen Unterricht freuten.	art_ext v_infl    	art_ext v_miss      
en	21	Police in Gautier, where Prentiss died, said he had no history of violence or criminal record.	Die Polizei in Gautier, wo Prentiss starb, sagte, er habe keine Geschichte von Gewalt oder Strafanzeige.	Die Polizei in Gautier, wo Prentiss starb, sagte, er habe keine Geschichte von Gewalt oder Strafregister.	Die Polizei in Gautier, wo Prentiss starb, sagte, er habe keine Geschichte der Gewalt oder eine kriminelle Vorgeschichte.	genitive art_miss    	genitive art_miss      
en	24	At the same time, there were some inclinations of problems.	Gleichzeitig gab es eine Reihe von Problemen.	Gleichzeitig gab es einige Neigungen.	Zur gleichen Zeit gab es einige Neigungen zu problematischen Verhaltensweisen.	mwe     	mwe       
en	25	A student who praised Lamb, Brandon Beavers, said he also seemed agitated and jittery, "like there was something wrong with him."	Ein Schüler, der Lamb, Brandon Bienavers lobte, sagte, er schien auch agiler und jittert, "wie es bei ihm etwas Falsches gab".	Ein Student, der lobte Lamm, Brandon Biber, sagte, er schien auch aufgeregt und nervös ", wie es etwas falsch mit ihm war".	Ein Student, Brandon Beavers, der Lamb lobte, sagte, er schien auch ein wenig aufgeregt und nervös, "als ob etwas mit ihm falsch sei."	phrase_structure ne a_infl untrans ambig_conj 	v_order ne_trans ne_trans ambig_conj a_infl   
en	28	This year, he was only teaching two online classes.	In diesem Jahr unterrichtete er nur zwei Online-Klassen.	In diesem Jahr war er nur zwei Online-Klassen unterrichtet.	In diesem Jahr unterrichtete er nur zwei Online-Kurse.	x     	v_infl       
en	31	Those are questions Lamb can no longer answer.	Das sind Fragen, die Lamb nicht mehr beantworten kann.	Das sind Fragen, Lamm nicht mehr antworten.	Das sind Fragen, die Lamb nicht mehr beantworten kann.	x     	pron_rel_miss ne_trans v_pref_miss v_miss    
